DocType: Commission Agent Report,% Amount Billed,% Сумма счета
DocType: Commission Agent Report,% of materials billed against this Sales Order,"% материалов, выставленных на счет этой Сделки"
DocType: WB Settings,AE,AE
DocType: Agreement,AGR-.YYYY.-,AGR-.YYYY.-
DocType: WB Settings,AU,Австралия
DocType: WB Settings,AWS Access Key ID,Идентификатор ключа доступа AWS
DocType: Agreement,Accounts User,Пользователь Учетных записей
DocType: Label Printing Item,Actual Qty,Факт. кол-во
DocType: WB Sales,Actual price from the order,Актуальная цена из заказа
apps/trava_erpnext/trava_erpnext/sale_commission/doctype/commission_agent_report/commission_agent_report.js,Actual type tax cannot be included in Item rate in row {0},Фактический тип налога не может быть включён в стоимость продукта в строке {0}
apps/trava_erpnext/trava_erpnext/sale_commission/doctype/commission_agent_report/commission_agent_report_list.js,Add Report Commission,Добавить комиссию за отчет
DocType: Commission Agent Report,Address,Адрес
DocType: Commission Agent Report,Address and Contact,Адрес и контакт
DocType: Label Printing,Administrator,Администратор
DocType: Commission Agent Report,Advance Paid,Авансовая выплата
DocType: WB Settings,After Date,После даты
DocType: Commission Agent Report Item,Against Blanket Order,Против бланкетного приказа
apps/trava_erpnext/trava_erpnext/public/js/sales_order.js,Against Default Supplier,Против дефолтного поставщика
DocType: WB Sales by Sales,Agreed discount,Согласованная скидка
DocType: WB Sales by Sales,Agreed grocery discount,Согласованная скидка на продукты
DocType: WB Sales,Agreed regular customer discount(SPP),Согласованная скидка для постоянных клиентов (SPP)
DocType: Agreement,Agreement,Соглашение
DocType: Agreement,Agreement Type,Тип соглашения
DocType: Commission Agent Report,Agreement type,Тип соглашения
DocType: WB Settings,Always sync your products from Amazon MWS before synching the Orders details,Всегда синхронизируйте свои продукты с Amazon MWS перед синхронизацией деталей заказов.
Custom Field - label: Item-amazon_item_code,Amazon Item Code,Код товара Amazon
Custom Field - label: Sales Order-amazon_order_id,Amazon Order ID,Идентификатор заказа Amazon
DocType: WB Settings,Amazon will synch data updated after this date,"Amazon будет синхронизировать данные, обновленные после этой даты"
DocType: Agreement,Amended From,Измененный С
DocType: Commission Agent Report Item,Amount,Сумма
DocType: Commission Agent Report Item,Amount (Company Currency),Сумма (Компания Валюта)
apps/trava_erpnext/trava_erpnext/wb_selling/report/wb_summary_report/wb_summary_report.py,Amount commission WB,Сумма комиссии ВБ
DocType: WB Sales by Sales,Amount of the sales Commission,Размер комиссии за продажу
DocType: Commission Agent Report,Amount principal,Сумма основного долга
DocType: Commission Agent Report,Amount principal (Company Currency),Основная сумма (валюта компании)
apps/trava_erpnext/trava_erpnext/wb_selling/report/wb_summary_report/wb_summary_report.py,Amount purchases,Сумма покупок
